From	To	Species	Gene Name
55942	MGI:1913438	Mus musculus	SERTA domain containing 1(Sertad1)
245572	MGI:2389465	Mus musculus	T-box 22(Tbx22)
57246	MGI:1888496	Mus musculus	T-box 20(Tbx20)
16601	MGI:1333856	Mus musculus	Kruppel-like factor 9(Klf9)
16600	MGI:1342287	Mus musculus	Kruppel-like factor 4 (gut)(Klf4)
20630	MGI:109489	Mus musculus	U1 small nuclear ribonucleoprotein C(Snrpc)
13710	MGI:1101781	Mus musculus	E74-like factor 3(Elf3)
329934	MGI:2676586	Mus musculus	forkhead box O6(Foxo6)
13711	MGI:1335079	Mus musculus	E74-like factor 5(Elf5)
14472	MGI:95668	Mus musculus	gastrulation brain homeobox 2(Gbx2)
13712	MGI:101833	Mus musculus	ELK1, member of ETS oncogene family(Elk1)
13990	MGI:95453	Mus musculus	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1(Smarcad1)
13713	MGI:101762	Mus musculus	ELK3, member of ETS oncogene family(Elk3)
13714	MGI:102853	Mus musculus	ELK4, member of ETS oncogene family(Elk4)
14884	MGI:1277216	Mus musculus	general transcription factor II H, polypeptide 1(Gtf2h1)
20637	MGI:98341	Mus musculus	small nuclear ribonucleoprotein 70 (U1)(Snrnp70)
14886	MGI:1202722	Mus musculus	general transcription factor II I(Gtf2i)
20639	MGI:104805	Mus musculus	U2 small nuclear ribonucleoprotein B(Snrpb2)
14885	MGI:1338799	Mus musculus	general transcription factor II H, polypeptide 4(Gtf2h4)
17286	MGI:103219	Mus musculus	mesenchyme homeobox 2(Meox2)
17285	MGI:103220	Mus musculus	mesenchyme homeobox 1(Meox1)
16201	MGI:1339973	Mus musculus	interleukin enhancer binding factor 3(Ilf3)
328417	MGI:2685589	Mus musculus	poly (ADP-ribose) polymerase family, member 4(Parp4)
20231	MGI:104806	Mus musculus	NK1 transcription factor related, locus 2 (Drosophila)(Nkx1-2)
20230	MGI:105084	Mus musculus	special AT-rich sequence binding protein 1(Satb1)
14283	MGI:107179	Mus musculus	fos-like antigen 1(Fosl1)
13984	MGI:1096388	Mus musculus	extraembryonic, spermatogenesis, homeobox 1(Esx1)
52615	MGI:1261758	Mus musculus	suppressor of zeste 12 homolog (Drosophila)(Suz12)
14284	MGI:102858	Mus musculus	fos-like antigen 2(Fosl2)
13983	MGI:109392	Mus musculus	estrogen receptor 2 (beta)(Esr2)
14281	MGI:95574	Mus musculus	FBJ osteosarcoma oncogene(Fos)
13982	MGI:1352467	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
14282	MGI:95575	Mus musculus	FBJ osteosarcoma oncogene B(Fosb)
110074	MGI:1346051	Mus musculus	deoxyuridine triphosphatase(Dut)
20926	MGI:107726	Mus musculus	suppressor of Ty 6(Supt6)
17293	MGI:1096325	Mus musculus	mesoderm posterior 2(Mesp2)
20924	MGI:1202400	Mus musculus	suppressor of Ty 5(Supt5)
20922	MGI:107416	Mus musculus	suppressor of Ty 4A(Supt4a)
13709	MGI:107180	Mus musculus	E74-like factor 1(Elf1)
230824	MGI:2655333	Mus musculus	grainyhead-like 3 (Drosophila)(Grhl3)
80720	MGI:1931321	Mus musculus	pre B cell leukemia homeobox 4(Pbx4)
